Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E7H1-2,8904,51,44,0,0,349,328,18.4905355,811.934779,127.54669,0.2415,0.2597
E7H1-3,8904,52,43,0,0,334,343,18.70783683,812.85055,126.32397,0.2372,0.2451
E7H1-4,8904,53,42,0,0,319,358,18.01600956,809.730731,127.68702,0.2407,0.252
E7H2-1,8807,85,107,0,0,315,362,17.92331285,797.008701,126.21751,0.25,0.2554
E7H2-2,8807,92,100,0,0,358,319,17.95107876,796.782301,125.79856,0.2453,0.2573
E7H2-3,8807,107,85,0,0,350,327,17.49051662,804.053477,125.86689,0.2478,0.2504
E7H2-4,8810,103,86,0,0,344,333,16.94773888,793.462226,125.44454,0.2436,0.2544
E7H3-1,8714,155,130,0,0,356,321,16.90974858,794.290282,124.28989,0.2409,0.2606
E7H3-2,8709,149,141,0,0,323,354,17.08876595,790.554957,125.06318,0.247,0.2687
E7H3-3,8711,141,147,0,0,330,347,16.56113798,787.646394,124.78103,0.2486,0.2561
E7H3-4,8710,130,159,0,0,341,336,16.76808339,785.763673,124.56193,0.2448,0.2497
E7H4-1,8619,186,194,0,0,349,328,16.23050982,779.207681,122.74294,0.2446,0.2784
E7H4-2,8618,184,197,0,0,340,337,16.27040328,775.051207,123.4627,0.2484,0.2553
E7H4-3,8616,199,184,0,0,354,323,15.94433767,774.765349,122.85679,0.246,0.2637
E7H4-4,8616,180,203,0,0,352,325,16.89663387,779.40747,121.9965,0.2407,0.2649
E7H5-1,8526,237,236,0,0,332,345,15.08528636,768.908807,121.63244,0.2611,0.2751
E7H5-2,8526,247,226,0,0,327,350,15.3188163,768.659983,122.21788,0.2673,0.2749
E7H5-3,8522,238,239,0,0,332,345,15.38650864,760.128557,122.86421,0.2558,0.2599
E7H5-4,8517,230,252,0,0,345,332,16.04752243,764.936547,123.64701,0.2617,0.2648
E7H6-1,8425,301,273,0,0,333,344,15.08972578,755.395887,121.37101,0.2616,0.2814
E7H6-2,8430,282,287,0,0,347,330,15.14512223,755.50039,120.39419,0.2526,0.2548
E7H6-3,8428,287,284,0,0,360,317,14.99710764,752.462283,121.96098,0.2751,0.2789
E7H6-4,8433,279,287,0,0,344,333,15.37262254,745.798121,119.56996,0.246,0.2613
E7H7-1,8336,311,352,0,0,347,330,14.68333341,753.118719,120.21767,0.2689,0.2752
E7H7-2,8332,325,342,0,0,338,339,14.98951162,744.715795,120.11253,0.2508,0.2727
E7H7-3,8337,312,350,0,0,343,334,14.52845494,750.146418,123.32597,0.2904,0.2922
E7H7-4,8334,337,328,0,0,321,356,14.89935091,742.840408,120.69921,0.2579,0.2727
E7H8-1,8238,366,395,0,0,348,329,14.50768815,736.386738,121.02531,0.2704,0.2767
E7H8-2,8239,355,405,0,0,350,327,15.05066737,735.596193,118.79184,0.257,0.272
E7H8-3,8238,384,377,0,0,337,340,14.04212064,731.505069,119.58848,0.259,0.2614
E7H8-4,8238,370,391,0,0,322,355,14.27734618,722.732918,119.50735,0.2573,0.2733
E7H9-1,8156,427,416,0,0,345,332,13.75456051,728.088651,118.81269,0.2967,0.3009
E7H9-2,8143,430,426,0,0,346,331,13.14749783,716.069105,119.3567,0.2961,0.2994
E7H9-3,8154,410,435,0,0,350,327,14.4322242,724.772327,118.17578,0.2755,0.2772
E7H9-4,8151,436,412,0,0,326,351,13.79619769,728.257945,117.8327,0.2563,0.2971
E7H10-1,8055,473,471,0,0,346,331,13.50673143,712.822634,118.04078,0.2768,0.2798
